"AOSNUMBER","NEWAOSNUMBER (ORI9)","City","County","State","Agency","Type of LEA","Summary","Type of Juris","Technology","TECH ABV","Vendor","Link 1","Link 1 Snapshot","Link 1 Source","Link 1 Type","Link 1 Date","Link 2","Link 2 Snapshot","Link 2 Source","Link 2 Type","Link 2 Date","Link 3","Link 3 Snapshot","Link 3 Source","Link 3 Type","Link 3 Date","Other Links"
"AOS006969","TX1990200BWC","Royse City","Rockwall County","TX","Royse City Police Department","Police","The Royse City Police Department has used body-worn cameras since at least 2016.","Municipal","Body-worn Cameras","","","https://www.cbsnews.com/news/chacey-poynter-police-body-camera-captures-the-moment-grieving-wife-turns-into-a-murder-suspect/","","CBSNews","","01/17/2020","","","","","","","","","","",""
"AOS006970","MI5255900BWC","Marquette","Marquette County","MI","Marquette City Police Department","Police","The Marquette City Police Department purchased 35 Wolfcom body-worn cameras in 2013. The agency received $1,547 from the Bureau of Justice Assistance to purchase 6 body-worn cameras through the 2022 Small, Rural, Tribal BWC Microgrant program in 2021.","Municipal","Body-worn Cameras","","Wolfcom","https://www.marquettemi.gov/wp-content/uploads/2017/10/November-December-Newsletter-2013.pdf","","Marquette Michigan","","2013","https://www.srtbwc.com/micro-grantees-data-download/","","Small, Rural, and Tribal Body-Worn Camera microgrant grantee list","","12/29/2021","","","","","",""
"AOS006971","TX1550000BWC","Waco","McLennan County","TX","McLennan County Sheriff's Office","Sheriff","Since at least 2015, the McLennan County Sheriff's Office have been using body-worn cameras.","County","Body-worn Cameras","","","https://www.wacotrib.com/news/crime/more-mclennan-county-police-departments-warm-to-body-camera-use/article_6c279570-5dc5-59b5-97e3-a737de9c40ca.html","","Waco Tribune","","01/09/2015","","","","","","","","","","",""
"AOS006972","ID0340000BWC","Rupert","Minidoka County","ID","Minidoka County Sheriff's Office","Sheriff","The Minidoka County Sheriff's Office uses body-worn cameras.","County","Body-worn Cameras","","","https://magicvalley.com/news/local/crime-and-courts/local-police-say-body-cameras-invaluable-expensive/article_17f5e102-38c0-521e-a0ed-daf9ca356ed8.html","","Magic Valley","","12/05/2014","","","","","","","","","","",""
"AOS006973","IL0169K00BWC","Palos Hills","Cook County","IL","Moraine Valley College Police Department","Police","The Moraine Valley Community College Police Department use 21 body-worn cameras as of 2024.","University","Body-worn Cameras","","Wolfcom","http://bodycamerareviews.com/820-2/","","Body Camera Reviews","","07/07/2015","https://www.ptb.illinois.gov/media/1912/2024-body-worn-camera-report-final.pdf","","Illinois Law Enforcement Training and Standards Board","","2024","","","","","",""
"AOS006974","FL0430100BWC","Stuart `","Martin County","FL","Stuart Police Department","Police","The Stuart Police Department began its department-wide body-worn camera program in 2016.","Municipal","Body-worn Cameras","","","https://www.wpbf.com/article/stuart-police-give-body-cameras-to-every-patrol-officer-1/1455464","","WPBF","","07/18/2016","","","","","","","","","","",""
"AOS006975","CA0211100BWC","Belvedere Tiburon","Marin County","CA","Tiburon Police Department","Police","The Tiburon Police Department uses body-worn cameras.","Municipal","Body-worn Cameras","","","https://www.marinij.com/2014/02/09/san-rafael-police-experiment-with-body-worn-cameras/","","Marin Independent Journal","","02/09/2014","","","","","","","","","","",""
"AOS006976","OROSP1000BWC","Salem","Marion County","OR","Oregon State Police","Police","The Oregon State Police uses body-worn cameras.","Statewide","Body-worn Cameras","","","https://mailtribune.com/news/state-news/police-id-missing-teen-who-fell-into-ocean-at-cape-kiwanda-video-of-rescue-effort","","Mail Tribune","","02/02/2016","https://www.portlandoregon.gov/police/article/712457","","Portland Police Department","","2020","","","","","",""
"AOS006982","NY0595300BWC","White Plains","Westchester County","NY","Greenburgh Police Department","Police","The Town of Greenburgh uses Axon body-worn cameras.","Municipal","Body-worn Cameras","","Axon","https://dailyvoice.com/new-york/greenburgh/police-fire/greenburgh-becomes-first-westchester-police-force-committed-to-body-cam-use/618953/","","Greenburgh Daily Voice","","","https://www.lohud.com/story/news/2015/10/14/dobbs-ferry-body-cameras/73922398/","","LoHud","","10/14/2015","","","","","",""
"AOS006985","NC0800500BWC","Salisbury","Rowan County","NC","Salisbury Police Department","Police","The Salisbury Police Department has used body-worn cameras since at least 2016.","County","Body-worn Cameras","","","https://salisburync.gov/city-of-salisbury-police-department-media-statement-regarding-recent-naacp-press-conference-2","","City of Salisbury","","11/11/2016","https://www.salisburypost.com/2015/03/01/enterprise-crime-trends-and-the-tools-law-enforcement-use-to-fight-crime/?fb_comment_id=795956277155493_796083817142739","","Salisbury Post","","3/1/2015","","","","","",""
"AOS006986","AZ0070300BWC","Buckeye","Maricopa County","AZ","Buckeye Police Department","Police","The Buckeye Police Department announced plans to begin acquire 66 body-worn cameras in July 2016.","County","Body-worn Cameras","","Axon","https://www.westvalleyview.com/archives/buckeye-police-officers-getting-body-cameras/article_74c0bda3-dd10-5b45-a558-48fa12e60606.html","","West Valley View","","05/25/2015","","","","","","","","","","",""
"AOS006993","WY0040200BWC","Saratoga","Carbon County","WY","Saratoga Police Department","Police","The Saratoga City Council approved the purchase of 5 body-worn cameras for the Saratoga Police Department in June 2020.","Municipal","Body-worn Cameras","","","https://www.rawlinstimes.com/news/local/saratoga-police-receive-new-body-cameras-tasers/article_0d0bb579-8450-57bd-8091-663b5b09e405.html","","Rawlins Times","","07/01/2020","","","","","","","","","","",""
"AOS006994","WY0130100BWC","Casper","Natrona County","WY","Casper Police Department","Police","The Casper Police Department obtained Getac body-worn cameras in 2019.","Municipal","Body-worn Cameras","","Getac","https://trib.com/news/local/crime-and-courts/casper-police-officers-begin-using-body-cameras/article_87c99923-4c1d-5374-a068-362bdb25e43b.html","","Casper Star Tribune","","03/21/2019","","","","","","","","","","",""
"AOS006995","WY0130200BWC","Mills","Natrona County","WY","Mills Police Department","Police","The Mills Police Department purchased 11 body-worn cameras in 2015 with grants totalling $13,000 from by the U.S. Department of Homeland Security.","Municipal","Body-worn Cameras","","","https://billingsgazette.com/news/state-and-regional/wyoming/wyoming-police-department-outfits-officers-with-body-cams/article_7490756f-79bb-585a-bc1f-3608a217aa78.html","","Billings Gazette","","01/23/2015","","","","","","","","","","",""
"AOS006996","WY0130400BWC","Evansville","Natrona County","WY","Evansville Police Department","Police","The Evansville Police Department uses body-worn cameras. The Evansville Police Department also received a Small, Rural, and Tribal Body-Worn Camera Program grant for $22,475.00 for 12 body-worn cameras in 2023.","Municipal","Body-worn Cameras","","","https://trib.com/news/local/casper/natrona-county-sheriffs-office-could-be-next-agency-with-body-cameras/article_07d4ac7d-ff3c-547f-a0eb-83db071a1e4c.html","","Casper Star Tribune","","06/07/2019","https://www.documentcloud.org/documents/24549373-srt-bwc-micro-grantee-award-2039","","Justice & Security Strategies","","2024","https://www.srtbwc.com/micro-grantees-2023/","","Justice & Security Strategies","","2024",""
"AOS006997","WY0130000BWC","Casper","Natrona County","WY","Natrona County Sheriff's Office","Sheriff","The Natrona County Sheriff's Office uses body-worn cameras.","County","Body-worn Cameras","","","https://trib.com/news/local/casper/natrona-county-sheriffs-office-could-be-next-agency-with-body-cameras/article_07d4ac7d-ff3c-547f-a0eb-83db071a1e4c.html","","Casper Star Tribune","","06/07/2019","https://www.facebook.com/1665315377111510/photos/a.1669664936676554/2026322644344113","","Facebook","","05/22/2019","","","","","",""
"AOS006998","WY0010000BWC","Laramie","Albany County","WY","Albany County Sheriff's Office","Sheriff","The Albany County Sheriff's Office uses body-worn cameras.","County","Body-worn Cameras","","","https://laramielive.com/albany-county-attorney-denies-request-for-shooting-video-emails/","","Laramie Live","","11/28/2018","","","","","","","","","","",""
"AOS007013","MO0880300BWC","Moberly","Randolph County","MO","Moberly Police Department","Police","The Moberly Police Department obtained Axon body-worn cameras in 2018.","Municipal","Body-worn Cameras","","Axon","https://www.moberlymonitor.com/news/20180718/moberly-pd-to-get-new-body-cameras","","Moberly Monitor Index","","07/18/2018","https://www.facebook.com/MoberlyPoliceDepartment/photos/a.249280065264674/1496183070574361/","","Moberly Police Department's Facebook page showing officer wearing a body camera.","","06/24/2018","","","","","",""
"AOS007018","NY0303000BWC","New York","New York County","NY","New York City Police Department","Police","The New York Police Department started its body-worn camera program in 2017 and had outfitted all patrol officers with cameras as of March 2019.","Municipal","Body-worn Cameras","","","https://www.brennancenter.org/sites/default/files/2019-10/2019_10_LNS_%28NYPD%29Surveillance_Final.pdf","","Brennan Center for Justice","","2019","https://www1.nyc.gov/assets/nypd/downloads/pdf/public_information/body-worn-cameras-patrol-guide.pdf","","NYPD","","2018","https://www1.nyc.gov/site/nypd/news/pr0306/nypd-completes-rollout-body-worn-cameras-all-officers-patrol#/0","","NYPD","","3/6/2019",""
"AOS007023","MI5074000BWC","Shelby Charter Township","Macomb County","MI","Shelby Township Police Department","Police","The Shelby Township's Police Chief signed a 5-year contract with Axon in 2014 to purchase body-worn cameras for $500,000","Municipal","Body-worn Cameras","","Axon","https://www.macombdaily.com/news/copscourts/body-cameras-some-macomb-police-departments-using-them-others-dont-see-need/article_ac7c911c-1794-11ea-9fee-23f4880ce9e6.html","","Macomb Daily","","12/09/2019","","","","","","","","","","",""
"AOS007024","MI2921300BWC","Alma","Gratiot County","MI","Alma City Police Department","Police","The Alma Police Department has used body-worn cameras since the mid 2010s.","Municipal","Body-worn Cameras","","","https://www.themorningsun.com/news/police-say-body-cameras-ensure-safety-of-all/article_598284de-0bdd-578a-a1e5-999d810e4374.html","","Morning Sun News","","07/17/2015","","","","","","","","","","",""
"AOS007025","MI8249000BWC","Inkster","Wayne County","MI","Inkster Police Department","Police","The Inkster Police Department deployed 35 body-worn cameras in May 2016. In 2018 the U.S. Department of Justice awarded $97,500 to the Inkster Police Department in 2018 as part of the Bureau of Justice Assistance's body-worn camera grant program.","Municipal","Body-worn Cameras","","Axon","https://www.detroitnews.com/story/news/local/wayne-county/2016/05/26/chief-inkster-cops-wear-body-cameras-carry-tasers/84986650/","","The Detroit News","","05/26/2016","https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html","","U.S Department of Justice","","2018","","","","","",""
"AOS007029","MI8277000BWC","Belleville","Wayne County","MI","Sumpter Township Police Department","Police","The Sumpter Township Police Department uses body-worn cameras.","Municipal","Body-worn Cameras","","","http://bellevilleareaindependent.com/vbt-board-approves-buying-body-worn-cameras-for-police/","","Belleville Independent","","04/05/2019","https://www.facebook.com/sumpterpolice/photos/a.423955177649230/1671205346257534","","Facebook","","11/04/2017","","","","","",""
"AOS007030","MI8277500BWC","Taylor","Wayne County","MI","Taylor Police Department","Police","The Taylor Police Department uses Axon body-worn cameras.","Municipal","Body-worn Cameras","","Axon","http://bellevilleareaindependent.com/vbt-board-approves-buying-body-worn-cameras-for-police/","","Belleville Independent","","04/05/2019","https://www.thenewsherald.com/news/taylor-city-council-approves-purchase-of-body-cameras-tasers-for/article_adc79150-0f9f-11e9-b6dd-df760ce6240f.html","","The News-Herald","","01/03/2019","","","","","",""
"AOS007032","MI8253800BWC","Livonia","Wayne County","MI","Livonia Police Department","Police","The Livonia Police Department uses body-worn cameras.","Municipal","Body-worn Cameras","","","http://bellevilleareaindependent.com/vbt-board-approves-buying-body-worn-cameras-for-police/","","Belleville Independent","","04/05/2019","","","","","","","","","","",""
"AOS007033","MI8290800BWC","Canton","Wayne County","MI","Canton Township Police Department","Police","The Canton Township Police Department uses body-worn cameras.","Municipal","Body-worn Cameras","","","http://bellevilleareaindependent.com/vbt-board-approves-buying-body-worn-cameras-for-police/","","Belleville Independent","","04/05/2019","https://www.clarionledger.com/story/news/local/canton/2015/06/04/canton-police-body-cameras/28486451/","","Clarion Ledger","","06/04/2015","","","","","",""
"AOS007034","MI8118100BWC","Ann Arbor","Washtenaw County","MI","Washtenaw County Sheriff's Office","Sheriff","The Washtenaw County Sheriff's Office uses body-worn cameras.","County","Body-worn Cameras","","","http://bellevilleareaindependent.com/vbt-board-approves-buying-body-worn-cameras-for-police/","","Belleville Independent","","04/05/2019","https://www.fox2detroit.com/news/washtenaw-county-sheriff-release-bodycam-video-in-punching-of-black-woman","","Fox 2 Detroit","","05/29/2020","","","","","",""
"AOS007035","MI3300100BWC","Dimondale","Eaton County","MI","Michigan State Police","Police","The Michigan State Police use body-worn cameras.","Statewide","Body-worn Cameras","","","http://bellevilleareaindependent.com/vbt-board-approves-buying-body-worn-cameras-for-police/","","Belleville Independent","","04/05/2019","","","","","","","","","","",""
"AOS007036","MI5071300BWC","Roseville","Macomb County","MI","Roseville Police Department","Police","The Roseville Police Department uses body-worn cameras.","Municipal","Body-worn Cameras","","","http://bellevilleareaindependent.com/vbt-board-approves-buying-body-worn-cameras-for-police/","","Belleville Independent","","04/05/2019","https://www.macombdaily.com/news/copscourts/body-cameras-some-macomb-police-departments-using-them-others-dont-see-need/article_ac7c911c-1794-11ea-9fee-23f4880ce9e6.html","","Macomb Daily","","12/09/2019","","","","","",""
"AOS007038","MI5015000BWC","Mount Clemens","Macomb County","MI","Macomb County Sheriff's Office","Sheriff","The Macomb County Sheriff's Office uses body-worn cameras.","County","Body-worn Cameras","","","http://bellevilleareaindependent.com/vbt-board-approves-buying-body-worn-cameras-for-police/","","Belleville Independent","","04/05/2019","https://www.facebook.com/macombcountysheriffsoffice/photos/a.290921547632451/3010548159003096","","Facebook","","04/21/2020","","","","","",""
"AOS007039","MI5070800BWC","Romeo","Macomb County","MI","Romeo Police Department","Police","The Romeo Police Department uses body-worn cameras.","Municipal","Body-worn Cameras","","","https://www.macombdaily.com/news/copscourts/body-cameras-some-macomb-police-departments-using-them-others-dont-see-need/article_ac7c911c-1794-11ea-9fee-23f4880ce9e6.html","","Macomb Daily","","12/09/2019","https://www.facebook.com/Romeo-Police-Department-1259444550753937/photos/a.1293448940686831/3383300918368279","","Facebook","","07/12/2020","","","","","",""
"AOS007146","FL0590100BWC","Altamonte Springs","Seminole County","FL","Altamonte Springs Police Department","Police","The Altamonte Springs Police Department uses body-worn cameras.","Municipal","Body-worn Cameras","","Axon","https://www.orlandosentinel.com/news/breaking-news/os-ne-bodycam-footage-suspect-drowning-retention-pond-20191115-ibs2d4ylcjcp7olxp5gdsdrkty-story.html","","New organization","","11/14/2019","https://www.altamonte.org/DocumentCenter/View/7021/Agenda-Packet-from-12-4-2018?bidId=","","Altamonte Springs Police Department site","","12/4/2018","","","","","",""
"AOS007147","CA0150000BWC","Bakersfield","Kern County","CA","Kern County Sheriff's Department","Sheriff","The Kern County Sheriff's Office received $135,000 in funding in 2017 from DOJ's Office of Justice Programs to implement a body-worn camera program.","County","Body-worn Cameras","","","https://bakersfieldnow.com/news/local/facebook-apologizes-and-restores-kcso-body-camera-footage-it-took-offline","","Bakersfield Now","","9/14/2018","https://bja.ojp.gov/funding/awards/2017-bc-bx-0012","","Dept. of Justice, Dept. Justice Assistance, Office of Justice Programs","","9/29/2017","https://www.kget.com/news/local-news/supervisors-approve-contract-that-will-outfit-all-kern-county-deputies-with-body-cameras/","","KGET","","06/08/2021",""
"AOS007155","GA0447200BWC","Brookhaven","DeKalb County","GA","Brookhaven Police Department","Police","The Brookhaven Police Department began using body-worn cameras in 2016. The initial 60 cameras cost $300,000.","Municipal","Body-worn Cameras","","","https://patch.com/georgia/brookhaven/brookhaven-police-getting-body-cameras","","Patch","","8/10/2016","https://www.facebook.com/BrookhavenPD/photos/a.667475283281650/4019540491408429","","Brookhaven Police Department","","8/26/2020","","","","","",""
